name,name_hi,category,moisture_pct,water_activity,critical_aw,fat_pct,o2_sensitive,light_sensitive,respiring,respiration_rate,default_shelf_life_days,ph,storage_temp_min_c,storage_temp_max_c,main_deterioration_factor,source_url,notes
Chips,चिप्स,dry_snack,1.86,0.2,0.4,34.0,high,high,no,,180,,15,25,oxidative_rancidity_and_moisture_uptake,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169677/nutrients,"COMPOSITION: not in IFCT 2017; USDA FDC 169677 'Snacks, potato chips, plain, salted' (1.86 water, 34.0 fat; verified via FDC API). AW: APPROX 0.2 - no measured chip value verified; placed within published low-moisture snack bands (FDA Table 3-1 crackers 0.10 FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf; AquaLab ~0.30 band for starch-based snacks AquaLab guide https://aqualab.com/en/knowledge-base/education-guides/food-manufacturers-complete-guide-water-activity). Needs lab measurement. CRITICAL_AW: APPROX 0.40, chosen inside the 0.35-0.50 range where snacks incl. potato chips became unacceptable (Katz & Labuza 1981 J Food Sci 46:403 https://experts.umn.edu/en/publications/effect-of-water-activity-on-the-sensory-crispness-and-mechanical-); abstract gives only the range, not a chip-specific value. PH: blank - no authoritative value found. SHELF LIFE: 180 d = 6 months for palm-olein chips N2-flushed in metallized/laminated BOPP (Ibrahim et al., Egypt J Nutr https://ejn.journals.ekb.eg/article_177747.html); APPROX for other oils/packs. STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, critical_aw, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Namkeen,नमकीन,dry_snack,3.24,0.3,0.52,27.41,high,high,no,,180,,15,24,oxidative_rancidity_and_loss_of_crispness,https://pmc.ncbi.nlm.nih.gov/articles/PMC6443744/,"COMPOSITION: not in IFCT 2017 or USDA SR. APPROX: control besan sev from Kumar, Nath & Arora 2019 J Food Sci Technol Table 2 (moisture 3.24, fat 27.41) used as representative namkeen. Commercial comparator Haldiram's Aloo Bhujia label fat 38.12 g/100 g (https://world.openfoodfacts.org/product/8904004400694/aloo-bhujia-haldiram-s) - fat varies widely by product. AW: APPROX 0.3 - not measured for namkeen; AquaLab starch-based snack band AquaLab guide https://aqualab.com/en/knowledge-base/education-guides/food-manufacturers-complete-guide-water-activity. CRITICAL_AW: APPROX 0.52 - same study: sev stayed crisp at 52.0% RH (EMC 7.04%) and became soft/unacceptable at 63.3% RH; true threshold lies between 0.52 and 0.633, 0.52 is the conservative end. PH: blank - no authoritative value. SHELF LIFE: 180 d = 'six-month shelf life when properly packaged' (NIFTEM/MoFPI PMFME Packaging of Besan Namkeen https://niftem.ac.in/newsite/pmfme/wp-content/uploads/2022/07/besannamkeenpackaging.pdf). STORAGE: max 24 C from NIFTEM ('24 C or lower'); min 15 C is an APPROX assumption. RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, critical_aw, storage_temp_min_c."
Biscuit,बिस्किट,bakery,4.6,0.2,0.4,18.8,medium,low,no,,60,,15,25,moisture_uptake_loss_of_crispness,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174950/nutrients,"COMPOSITION: not in IFCT 2017; APPROX proxy USDA FDC 174950 'Cookies, butter, commercially prepared, enriched' (4.60 water, 18.8 fat) for Indian sweet biscuits (Marie/glucose types differ). AW: APPROX 0.2 between FDA crackers 0.10 and AquaLab ~0.30 band; not measured. CRITICAL_AW: APPROX 0.40 inside Katz & Labuza 1981 range 0.35-0.50 (saltines among products tested) Katz & Labuza 1981 J Food Sci 46:403 https://experts.umn.edu/en/publications/effect-of-water-activity-on-the-sensory-crispness-and-mechanical-. PH: blank - no authoritative value. SHELF LIFE: 60 d = packaged cookies '2 months' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf); APPROX for Indian biscuits, whose declared best-before is often longer. STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, critical_aw, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Milk,दूध,dairy,86.64,0.99,,4.48,low,high,no,,5,6.6,1,4,microbial_spoilage_and_light_induced_off_flavour,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code L002 'Milk, whole, Cow' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (86.64 / 4.48). AW: APPROX 0.99 - no directly measured milk aw verified; fresh high-moisture foods ~0.97-1.00 (AquaLab guide https://aqualab.com/en/knowledge-base/education-guides/food-manufacturers-complete-guide-water-activity). CRITICAL_AW: blank - not applicable (high-aw perishable, microbially limited at native aw). PH: APPROX 6.6 = midpoint of FDA 6.40-6.80 (FDA/CFSAN Approximate pH of Foods (2007) https://www.healthycanning.com/wp-content/uploads/pH-FDAapproximatepHoffoodslacf-phs.pdf). SHELF LIFE: APPROX 5 d - lower end of '5 to 7 days in the refrigerator' on NDDB Dairy Knowledge Portal (a forum answer, weak source) https://www.dairyknowledge.in/dkp/content/shelf-life-pasteurized-milk; US studies report longer (Frontiers 2021 https://www.frontiersin.org/journals/sustainable-food-systems/articles/10.3389/fsufs.2021.670029/full). STORAGE: APPROX 1-4 C = KSU refrigerator 34-40 F (1.1-4.4 C) rounded (KSU MF3130 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-refrigerator-and-freezer_MF3130.pdf). LIGHT: high = riboflavin-mediated light-oxidised flavour (general dairy science; no single URL). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Paneer,पनीर,dairy,51.96,0.973,,14.78,medium,low,no,,7,5.5,3,5,microbial_spoilage,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code L003 'Paneer' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (51.96 / 14.78). AUDIT FLAG: this equals ~30.8% fat on dry matter, BELOW the FSSAI paneer minimum of 50% fat on dry matter (FSSAI Reg 2.1.16 https://www.fssai.gov.in/upload/uploadfiles/files/Chapter%202_1%20(Dairy%20products%20and%20analogues).pdf) and above the low-fat paneer maximum of 20%; retained because it is the IFCT value, but a full-fat market paneer is likely fattier (e.g. 25% fat / 60% moisture in Loganathan et al. 2026). Lab-verify. AW: 0.973 measured on control paneer (Loganathan et al. 2026, Dairy 7(5):77 https://www.mdpi.com/2624-862X/7/5/77) - APPROX for this row because that sample (60% moisture) differs from the IFCT composition. CRITICAL_AW: blank - not applicable (high-aw perishable). PH: 5.50 measured on the same control paneer - APPROX for this row (different sample). SHELF LIFE: APPROX 7 d - same study: total plate count exceeded BIS IS:10484 limit by day 9 at 4+/-1 C; 7 d is a conservative choice. STORAGE: 3-5 C = study condition 4+/-1 C. RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, ph, default_shelf_life_days."
Ghee,घी,dairy,0.5,0.65,,100,high,high,no,,365,,15,25,oxidative_rancidity,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: fat 100 from IFCT 2017 T013 'Ghee' https://www.nin.res.in/ebooks/IFCT2017.pdf (USDA FDC 171314 also 100). IFCT moisture 0.00 is a missing value (IFCT energy for this row is also 0 in the digitized table), so moisture 0.5 = USDA FDC 171314 'Butter, Clarified butter (ghee)' https://fdc.nal.usda.gov/fdc-app.html#/food-details/171314/nutrients, which equals the FSSAI legal MAXIMUM for ghee (0.5%, Reg 2.1.8) - real ghee is often lower. AW: APPROX 0.65 - butter oil measured 0.48-0.82 (LWT 2018 https://www.sciencedirect.com/science/article/abs/pii/S0023643817305704); wide range, lab-verify. CRITICAL_AW: blank - not applicable (oxidation-limited, not moisture-limited). PH: blank - not meaningful for an anhydrous fat. SHELF LIFE: APPROX 365 d - 'around one year' under tropical storage (Ahmed et al. 2022 J Food Sci Technol https://pmc.ncbi.nlm.nih.gov/articles/PMC9813280/). STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, water_activity, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Cheese,चीज़,dairy,39.6,0.94,,30.7,medium,medium,no,,28,5.6,1,4,mould_growth_and_oxidation,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170853/nutrients,"COMPOSITION: not in IFCT 2017; APPROX proxy USDA FDC 170853 'Cheese, pasteurized process, American, fortified with vitamin D' (39.6 water, 30.7 fat) for Indian processed cheese. AW: APPROX 0.94 and PH: APPROX 5.6 - these are CFIA processed-cheese control LIMITS (aw <=0.94, pH <=5.6) https://inspection.canada.ca/en/preventive-controls/dairy-products/dairy-processors/formulation-and-processing-controls, not measured typical values. CRITICAL_AW: blank - not applicable (mould/microbially limited). SHELF LIFE: APPROX 28 d = upper end of processed cheese '3-4 weeks' refrigerated (KSU MF3130 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-refrigerator-and-freezer_MF3130.pdf); sealed commercial packs often carry longer dates. STORAGE: APPROX 1-4 C = KSU refrigerator 34-40 F rounded. RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Bread,ब्रेड,bakery,36.4,0.96,,3.33,low,low,no,,3,5.5,15,25,staling_and_mould_growth,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174924/nutrients,"COMPOSITION: not in IFCT 2017; USDA FDC 174924 'Bread, white, commercially prepared' (36.4 water, 3.33 fat). AW: APPROX 0.96 = FDA Table 3-1 'bread ~0.96' (white bread 0.94-0.97) FDA/IFT Potentially Hazardous Foods Ch.3 Tables 3-1/3-3 https://downloads.regulations.gov/FDA-2010-D-0434-0004/content.pdf. CRITICAL_AW: blank - not applicable (high-aw product; mould/staling at native aw). PH: 5.50 measured on white bread (Metrohm AN-T-219 https://www.metrohm.com/en_us/applications/application-notes/aa-t-001-100/an-t-219.html); FDA range 5.00-6.20. SHELF LIFE: APPROX 3 d = upper end of bread '1-3 days' (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf); preserved Indian sliced bread may differ. STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Cake,केक,bakery,23.1,0.92,,17.9,medium,low,no,,7,7.5,15,25,mould_growth_and_staling,https://fdc.nal.usda.gov/fdc-app.html#/food-details/174940/nutrients,"COMPOSITION: not in IFCT 2017; APPROX proxy USDA FDC 174940 'Cake, pound, commercially prepared, other than all butter, enriched' (23.1 water, 17.9 fat). AW: APPROX 0.92 = midpoint of FDA Table 3-1 'baked cake 0.90-0.94'. CRITICAL_AW: blank - not applicable (high-aw, mould-limited). PH: APPROX 7.5 = control sponge cake (Song et al. 2016 Progress in Nutrition https://mattioli1885journals.com/index.php/progressinnutrition/article/download/4878/3861/15470); pound cake not measured. SHELF LIFE: APPROX 7 d - ASSUMPTION, no direct source: KSU lists commercial cake 1-2 days (cream/custard context) while preserved Indian packaged cakes last longer. Needs manufacturer/lab confirmation. STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: moisture_pct, fat_pct, water_activity, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
Atta,आटा,staple,11.1,0.6,0.65,1.53,medium,low,no,,90,6.19,15,25,hydrolytic_and_oxidative_rancidity_and_insects,https://www.nin.res.in/ebooks/IFCT2017.pdf,"COMPOSITION: moisture/fat from IFCT 2017 (ICMR-NIN) code A019 'Wheat flour, atta' https://www.nin.res.in/ebooks/IFCT2017.pdf. Values are from the digitized IFCT 2017 dataset (npm @ifct2017/compositions); audit check: IFCT energy (kJ) recomputed from its own protein/fat/carb/fibre agrees within 0.5 kcal, so the transcription is internally consistent; not re-read against the printed PDF page in this session. (11.10 / 1.53). AW: APPROX 0.6 - wheat flour samples measured 0.48-0.62 (Marynin et al. 2021 Ukrainian Food J https://nuft.edu.ua/doi/doc/ufj/2021/2/13.pdf); atta itself not measured. CRITICAL_AW: APPROX 0.65 = lower bound of 65-70% ERH above which fungi grow (FAO grain storage manual https://www.fao.org/4/x5065e/x5065e04.htm). PH: APPROX 6.19 - measured on white wheat flour (Metrohm AN-T-219), used for atta. SHELF LIFE: APPROX 90 d - ASSUMPTION for ambient storage; KSU gives whole-wheat flour 6-8 months only when refrigerated/frozen (KSU MF3131 https://bookstore.ksre.ksu.edu/pubs/safe-food-storage-the-cupboard_MF3131.pdf). STORAGE: 15-25 C is an APPROX ambient 'cool dry place' assumption (no source-specified range). RESPIRATION: not applicable (non-respiring); 0 by project convention. APPROX FIELDS: water_activity, critical_aw, ph, default_shelf_life_days, storage_temp_min_c, storage_temp_max_c."
